,Payment ID,total_bill,tip,sex,smoker,day,time,size,price_per_person,Payer Name,CC Number,price_cat,last_four
33,Sat6649,20.69,2.45,Female,No,Sat,D,4,5.2,Amber Francis,377742985258914,$$,8914
34,Sat8124,17.78,3.27,Male,No,Sat,D,2,8.9,Jacob Castillo,3551492000704805,$$,4805
35,Sat632,24.06,3.6,Male,No,Sat,D,3,8.0,Joseph Mullins,5519770449260299,$$,0299
36,Sat9139,16.31,2.0,Male,No,Sat,D,3,5.4,William Ford,3527691170179398,$$,9398
37,Sat6406,16.93,3.07,Female,No,Sat,D,3,5.6,Erin Lewis,5161695527390786,$$,0786
38,Sat4056,18.69,2.31,Male,No,Sat,D,3,6.2,Brandon Bradley,4427601595688633,$$,8633
39,Sat6373,31.27,5.0,Male,No,Sat,D,3,10.4,Mr. Brandon Berry,6011525851069856,$$$,9856
40,Sat8549,16.04,2.24,Male,No,Sat,D,3,5.4,Adam Edwards,3544447755679420,$$,9420
41,Sun9460,17.46,2.54,Male,No,Sun,D,2,8.7,David Boyer,3536678244278149,$$,8149
42,Sun1699,13.94,3.06,Male,No,Sun,D,2,7.0,Bryan Brown,36231182760859,$$,0859
43,Sun3279,9.68,1.32,Male,No,Sun,D,2,4.8,Christopher Spears,4387671121369212,$,9212
44,Sun2274,30.4,5.6,Male,No,Sun,D,4,7.6,Todd Cooper,503846761263,$$$,1263
45,Sun8643,18.29,3.0,Male,No,Sun,D,2,9.1,Richard Fitzgerald,375156610762053,$$,2053
46,Sun7097,22.23,5.0,Male,No,Sun,D,2,11.1,Joshua Gilmore,4292072734899,$$,4899
47,Sun9677,32.4,6.0,Male,No,Sun,D,4,8.1,James Barnes,3552002592874186,$$$,4186
48,Sun4142,28.55,2.05,Male,No,Sun,D,3,9.5,Austin Fisher,6011481668986587,$$,6587
49,Sun9774,18.04,3.0,Male,No,Sun,D,2,9.0,William Roth,6573923967142503,$$,2503
50,Sun2021,12.54,2.5,Male,No,Sun,D,2,6.3,Jeremiah Neal,2225400829691416,$$,1416
51,Sun4474,10.29,2.6,Female,No,Sun,D,2,5.1,Jessica Ibarra,4999759463713,$$,3713
52,Sun6165,34.81,5.2,Female,No,Sun,D,4,8.7,Emily Daniel,4291280793094374,$$$,4374
53,Sun4561,9.94,1.56,Male,No,Sun,D,2,5.0,Curtis Morgan,4628628020417301,$,7301
54,Sun9470,25.56,4.34,Male,No,Sun,D,4,6.4,Ronald Owens,6569607991983380,$$,3380
55,Sun1118,19.49,3.51,Male,No,Sun,D,2,9.7,Michael Hamilton,6502227786581768,$$,1768
56,Sat8903,38.01,3.0,Male,Yes,Sat,D,4,9.5,James Christensen DDS,349793629453226,$$$,3226
57,Sat8980,26.41,1.5,Female,No,Sat,D,2,13.2,Melody Simon,4745394421258160,$$,8160
58,Sat6683,11.24,1.76,Male,Yes,Sat,D,2,5.6,Troy Guerrero,3560782621035582,$$,5582
59,Sat8139,48.27,6.73,Male,No,Sat,D,4,12.1,Brian Ortiz,6596453823950595,$$$,0595
60,Sat2353,20.29,3.21,Male,Yes,Sat,D,2,10.1,Anthony Mclean,347614304015027,$$,5027
61,Sat3030,13.81,2.0,Male,Yes,Sat,D,2,6.9,Ryan Hernandez,4766834726806,$$,6806
62,Sat2265,11.02,1.98,Male,Yes,Sat,D,2,5.5,Joseph Hart,180046232326178,$$,6178
63,Sat4178,18.29,3.76,Male,Yes,Sat,D,4,4.6,Chad Hart,580171498976,$$,8976
64,Sat1667,17.59,2.64,Male,No,Sat,D,3,5.9,Michael Johnson,2222114458088108,$$,8108
65,Sat6840,20.08,3.15,Male,No,Sat,D,3,6.7,Justin Dixon,180021262464926,$$,4926
66,Sat4750,16.45,2.47,Female,No,Sat,D,2,8.2,Rachel Vaughn,3569262692675583,$$,5583
67,Sat3455,3.07,1.0,Female,Yes,Sat,D,1,3.1,Tiffany Brock,4359488526995267,$,5267
68,Sat561,20.23,2.01,Male,No,Sat,D,2,10.1,Mr. Travis Bailey Jr.,60406789937,$$,9937
69,Sat855,15.01,2.09,Male,Yes,Sat,D,2,7.5,Adam Hall,4700924377057571,$$,7571
70,Sat2100,12.02,1.97,Male,No,Sat,D,2,6.0,Max Brown,213139760497718,$$,7718
71,Sat3469,17.07,3.0,Female,No,Sat,D,3,5.7,Teresa Fisher,5442222963796367,$$,6367
72,Sat1967,26.86,3.14,Female,Yes,Sat,D,2,13.4,Victoria Obrien MD,4216245673726,$$,3726
73,Sat6065,25.28,5.0,Female,Yes,Sat,D,2,12.6,Julie Holmes,5418689346409571,$$,9571
74,Sat6548,14.73,2.2,Female,No,Sat,D,2,7.4,Ashley Harris,501828723483,$$,3483
75,Sat5056,10.51,1.25,Male,No,Sat,D,2,5.3,Kenneth Hayes,213142079731108,$$,1108
76,Sat9908,17.92,3.08,Male,Yes,Sat,D,2,9.0,Mark Smith,676188485350,$$,5350
77,Thur4924,27.2,4.0,Male,No,Thur,L,4,6.8,John Davis,30344778738589,$$,8589
78,Thur2863,22.76,3.0,Male,No,Thur,L,2,11.4,Chris Hahn,3591887177014031,$$,4031
79,Thur9501,17.29,2.71,Male,No,Thur,L,2,8.6,Brian Diaz,4759290988169738,$$,9738
80,Thur6453,19.44,3.0,Male,Yes,Thur,L,2,9.7,Louis Torres,38848369968464,$$,8464
81,Thur8232,16.66,3.4,Male,No,Thur,L,2,8.3,William Martin,4550549048402707,$$,2707
82,Thur4909,10.07,1.83,Female,No,Thur,L,1,10.1,Julie Moody,630413282843,$$,2843
83,Thur8801,32.68,5.0,Male,Yes,Thur,L,2,16.3,Daniel Murphy,5356177501009133,$$$,9133
84,Thur1944,15.98,2.03,Male,No,Thur,L,2,8.0,Jason Jones,4442984204923315,$$,3315
85,Thur7972,34.83,5.17,Female,No,Thur,L,4,8.7,Shawna Cook,6011787464177340,$$$,7340
86,Thur6793,13.03,2.0,Male,No,Thur,L,2,6.5,Derek Thomas,213161022097557,$$,7557
87,Thur3636,18.28,4.0,Male,No,Thur,L,2,9.1,Donald Williams,5363745772301404,$$,1404
88,Thur9003,24.71,5.85,Male,No,Thur,L,2,12.4,Roger Taylor,4410248629955,$$,9955
89,Thur6273,21.16,3.0,Male,No,Thur,L,2,10.6,Keith Lewis,4356005144080422,$$,0422
90,Fri4175,28.97,3.0,Male,Yes,Fri,D,2,14.5,Daniel Mason,3597456900644078,$$,4078
91,Fri5700,22.49,3.5,Male,No,Fri,D,2,11.2,Earl Horn,6011849326227398,$$,7398
92,Fri3780,5.75,1.0,Female,Yes,Fri,D,2,2.9,Leah Ramirez,3508911676966392,$,6392
93,Fri6963,16.32,4.3,Female,Yes,Fri,D,2,8.2,Natalie Nguyen,5181236182893396,$$,3396
94,Fri2318,22.75,3.25,Female,No,Fri,D,2,11.4,Jamie Garza,676318332068,$$,2068
95,Fri9628,40.17,4.73,Male,Yes,Fri,D,4,10.0,Aaron Bentley,180026611638690,$$$,8690
96,Fri3159,27.28,4.0,Male,Yes,Fri,D,2,13.6,Eric Carter,4563054452787961,$$,7961
97,Fri9268,12.03,1.5,Male,Yes,Fri,D,2,6.0,Eric Herrera,580116092652,$$,2652
98,Fri144,21.01,3.0,Male,Yes,Fri,D,2,10.5,Michael Li,4831801127457917,$$,7917
99,Fri5575,12.46,1.5,Male,No,Fri,D,2,6.2,Edward Carter,347435564751626,$$,1626
100,Fri4106,11.35,2.5,Female,Yes,Fri,D,2,5.7,Lori Lynch,38558279384492,$$,4492
101,Fri8382,15.38,3.0,Female,Yes,Fri,D,2,7.7,Tiffany Colon,6011012799432041,$$,2041
102,Sat6240,44.3,2.5,Female,Yes,Sat,D,3,14.8,Heather Cohen,379771118886604,$$$,6604
103,Sat1015,22.42,3.48,Female,Yes,Sat,D,2,11.2,Kathleen Hawkins,348009865484721,$$,4721
104,Sat3194,20.92,4.08,Female,No,Sat,D,2,10.5,Gabrielle Frederick,4013010878990106,$$,0106
105,Sat5106,15.36,1.64,Male,Yes,Sat,D,2,7.7,David Price,4029957452720,$$,2720
106,Sat7865,20.49,4.06,Male,Yes,Sat,D,2,10.2,Karl Mcdaniel,180024452771522,$$,1522
107,Sat5196,25.21,4.29,Male,Yes,Sat,D,2,12.6,Jason Mullen,4738781782868,$$,2868
108,Sat6376,18.24,3.76,Male,No,Sat,D,2,9.1,Steven Grant,4112810433473856,$$,3856
109,Sat2614,14.31,4.0,Female,Yes,Sat,D,2,7.2,Amanda Anderson,375638820334211,$$,4211
110,Sat6801,14.0,3.0,Male,No,Sat,D,2,7.0,James Sanchez,345243048851323,$$,1323
111,Sat4801,7.25,1.0,Female,No,Sat,D,1,7.2,Terri Jones,3559221007826887,$,6887
112,Sun591,38.07,4.0,Male,No,Sun,D,3,12.7,Jeff Lopez,3572865915176463,$$$,6463
113,Sun1885,23.95,2.55,Male,No,Sun,D,2,12.0,John Joyce,6565964211060570,$$,0570
114,Sun6492,25.71,4.0,Female,No,Sun,D,3,8.6,Katie Smith,5400160161311292,$$,1292
115,Sun8746,17.31,3.5,Female,No,Sun,D,2,8.6,Kayla Stone,379494319310858,$$,0858
116,Sun22,29.93,5.07,Male,No,Sun,D,4,7.5,Shawn Blake,4689079711213722,$$,3722
117,Thur9593,10.65,1.5,Female,No,Thur,L,2,5.3,Linda Zhang,3560509622598239,$$,8239
118,Thur8084,12.43,1.8,Female,No,Thur,L,2,6.2,Dr. Caroline Tucker,502047186908,$$,6908
119,Thur8063,24.08,2.92,Female,No,Thur,L,4,6.0,Melanie Jordan,676212062720,$$,2720
120,Thur8289,11.69,2.31,Male,No,Thur,L,2,5.8,Kenneth Goodman,4891259691010,$$,1010
121,Thur2158,13.42,1.68,Female,No,Thur,L,2,6.7,Laura Garcia,5181484390945653,$$,5653
122,Thur3579,14.26,2.5,Male,No,Thur,L,2,7.1,Perry Garcia,180034646320219,$$,0219
123,Thur1992,15.95,2.0,Male,No,Thur,L,2,8.0,Christopher Lang,4820629318698319,$$,8319
124,Thur208,12.48,2.52,Female,No,Thur,L,2,6.2,Jordan Diaz,4472778228206399,$$,6399
125,Thur3948,29.8,4.2,Female,No,Thur,L,6,5.0,Angela Sanchez,503857080488,$$,0488
126,Thur6719,8.52,1.48,Male,No,Thur,L,2,4.3,Mario Bradshaw,4524404353861811,$,1811
127,Thur1512,14.52,2.0,Female,No,Thur,L,2,7.3,Jessica Simmons,213102478792200,$$,2200
128,Thur8551,11.38,2.0,Female,No,Thur,L,2,5.7,Christine Perkins,3548391118913991,$$,3991
129,Thur9424,22.82,2.18,Male,No,Thur,L,3,7.6,Raymond Torres,4855776744024,$$,4024
130,Thur1446,19.08,1.5,Male,No,Thur,L,2,9.5,Seth Sexton,213113680829581,$$,9581
131,Thur9005,20.27,2.83,Female,No,Thur,L,2,10.1,Ashley Burke,5394652998970066,$$,0066
132,Thur7783,11.17,1.5,Female,No,Thur,L,2,5.6,Taylor Gonzalez,6011990685390011,$$,0011
133,Thur1561,12.26,2.0,Female,No,Thur,L,2,6.1,Kaitlin Wolf,676348318145,$$,8145
134,Thur75,18.26,3.25,Female,No,Thur,L,2,9.1,Karen Rodriguez,4952604748911,$$,8911
135,Thur6600,8.51,1.25,Female,No,Thur,L,2,4.3,Rebecca Harris,4320272020376174,$,6174
136,Thur1393,10.33,2.0,Female,No,Thur,L,2,5.2,Donna Kelly,180048553626376,$$,6376
137,Thur3890,14.15,2.0,Female,No,Thur,L,2,7.1,Vanessa Morris,213189344156819,$$,6819
138,Thur2710,16.0,2.0,Male,Yes,Thur,L,2,8.0,Jason Burgess,3561461821942363,$$,2363
139,Thur6245,13.16,2.75,Female,No,Thur,L,2,6.6,Lindsey Meyer,676239597203,$$,7203
140,Thur3906,17.47,3.5,Female,No,Thur,L,2,8.7,Kayla Rios,5233918213804470,$$,4470
141,Thur1025,34.3,6.7,Male,No,Thur,L,6,5.7,Steven Carlson,3526515703718508,$$$,8508
142,Thur3621,41.19,5.0,Male,No,Thur,L,5,8.2,Eric Andrews,4356531761046453,$$$,6453
143,Thur6179,27.05,5.0,Female,No,Thur,L,6,4.5,Regina Jones,4311048695487,$$,5487
144,Thur9002,16.43,2.3,Female,No,Thur,L,2,8.2,Linda Jones,6542729219645658,$$,5658
145,Thur9331,8.35,1.5,Female,No,Thur,L,2,4.2,Amy Young,4285454264477,$,4477
146,Thur3941,18.64,1.36,Female,No,Thur,L,3,6.2,Kelly Estrada,60463302327,$$,2327
147,Thur4780,11.87,1.63,Female,No,Thur,L,2,5.9,Annette Cunningham,675937746864,$$,6864
148,Thur7276,9.78,1.73,Male,No,Thur,L,2,4.9,David Stewart,3578014604116399,$,6399
149,Thur6321,7.51,2.0,Male,No,Thur,L,2,3.8,Daniel Robbins,4823139288341889,$,1889
150,Sun8863,14.07,2.5,Male,No,Sun,D,2,7.0,Luke Rice,4813617017359506,$$,9506
151,Sun2127,13.13,2.0,Male,No,Sun,D,2,6.6,Jason Arnold,3571825125296106,$$,6106
152,Sun5205,17.26,2.74,Male,No,Sun,D,3,5.8,Gregory Smith,4292362333741,$$,3741
153,Sun8670,24.55,2.0,Male,No,Sun,D,4,6.1,Todd Patterson,4416804908942159,$$,2159
154,Sun5814,19.77,2.0,Male,No,Sun,D,4,4.9,James Smith,213169731428229,$$,8229
155,Sun9176,29.85,5.14,Female,No,Sun,D,5,6.0,Madison Wilson,4210875236164664,$$,4664
156,Sun7518,48.17,5.0,Male,No,Sun,D,6,8.0,Ryan Gonzales,3523151482063321,$$$,3321
157,Sun7015,25.0,3.75,Female,No,Sun,D,4,6.2,Laura Robles,213158685144262,$$,4262
158,Sun982,13.39,2.61,Female,No,Sun,D,2,6.7,Ashley Boyd,3571088058115021,$$,5021
159,Sun1781,16.49,2.0,Male,No,Sun,D,4,4.1,Christopher Soto,30501814271434,$$,1434
160,Sun245,21.5,3.5,Male,No,Sun,D,4,5.4,Travis Gonzalez,3527668419764685,$$,4685
161,Sun5879,12.66,2.5,Male,No,Sun,D,2,6.3,Brandon Oconnor,4406882156920533,$$,0533
162,Sun5521,16.21,2.0,Female,No,Sun,D,3,5.4,Jennifer Baird,4227834176859693,$$,9693
163,Sun8594,13.81,2.0,Male,No,Sun,D,2,6.9,Charles Newton,5552793481414044,$$,4044
164,Sun444,17.51,3.0,Female,Yes,Sun,D,2,8.8,Audrey Griffin,3500853929693258,$$,3258
165,Sun9043,24.52,3.48,Male,No,Sun,D,3,8.2,Jacob Hansen,4031116007387,$$,7387
166,Sun6738,20.76,2.24,Male,No,Sun,D,2,10.4,Gordon Lane,4110599849536479,$$,6479
167,Sun3719,31.71,4.5,Male,No,Sun,D,4,7.9,Michael Lawson,3566285921227119,$$$,7119
168,Sat9795,10.59,1.61,Female,Yes,Sat,D,2,5.3,Sara Jimenez,502053147208,$$,7208
169,Sat1788,10.63,2.0,Female,Yes,Sat,D,2,5.3,Amy Hill,3536332481454019,$$,4019
170,Sat1954,50.81,10.0,Male,Yes,Sat,D,3,16.9,Gregory Clark,5473850968388236,$$$,8236
171,Sat6750,15.81,3.16,Male,Yes,Sat,D,2,7.9,David Hall,502004138207,$$,8207
172,Sun9209,7.25,5.15,Male,Yes,Sun,D,2,3.6,Larry White,30432617123103,$,3103
173,Sun9335,31.85,3.18,Male,Yes,Sun,D,2,15.9,Scott Perez,3577115550328507,$$$,8507
174,Sun7621,16.82,4.0,Male,Yes,Sun,D,2,8.4,Brian Miles,3586342145399277,$$,9277
175,Sun5109,32.9,3.11,Male,Yes,Sun,D,2,16.4,Nathan Reynolds,370307040837149,$$$,7149
176,Sun5961,17.89,2.0,Male,Yes,Sun,D,2,8.9,Walter Simmons,6011481578696110,$$,6110
177,Sun6203,14.48,2.0,Male,Yes,Sun,D,2,7.2,John Dudley,4565183162071073,$$,1073
178,Sun4598,9.6,4.0,Female,Yes,Sun,D,2,4.8,Melanie Gray,4211808859168,$,9168
179,Sun9851,34.63,3.55,Male,Yes,Sun,D,2,17.3,Brian Bailey,346656312114848,$$$,4848
180,Sun7544,34.65,3.68,Male,Yes,Sun,D,4,8.7,James Hebert DDS,676168737648,$$$,7648
181,Sun3402,23.33,5.65,Male,Yes,Sun,D,2,11.7,Jason Cox,6556931703586223,$$,6223
182,Sun2337,45.35,3.5,Male,Yes,Sun,D,3,15.1,Jose Parsons,4112207559459910,$$$,9910
183,Sun6059,23.17,6.5,Male,Yes,Sun,D,4,5.8,Dr. Michael James,4718501859162,$$,9162
184,Sun5140,40.55,3.0,Male,Yes,Sun,D,2,20.3,Stephen Cox,3547798222044029,$$$,4029
185,Sun5842,20.69,5.0,Male,No,Sun,D,5,4.1,Joseph Howell,30362407455623,$$,5623
186,Sun4254,20.9,3.5,Female,Yes,Sun,D,3,7.0,Heidi Atkinson,4422858423131187,$$,1187
187,Sun9987,30.46,2.0,Male,Yes,Sun,D,5,6.1,David Barrett,4792882899700988,$$$,0988
188,Sun430,18.15,3.5,Female,Yes,Sun,D,3,6.0,Glenda Wiggins,578329325307,$$,5307
189,Sun1821,23.1,4.0,Male,Yes,Sun,D,3,7.7,Richard Stevens,3560193117506187,$$,6187
190,Sun5104,15.69,1.5,Male,Yes,Sun,D,2,7.8,Riley Barnes,180053549128800,$$,8800
191,Thur967,19.81,4.19,Female,Yes,Thur,L,2,9.9,Kristy Boyd,4317015327600068,$$,0068
192,Thur4334,28.44,2.56,Male,Yes,Thur,L,2,14.2,Dr. Jeffrey Rich,4737538358295,$$,8295
193,Thur606,15.48,2.02,Male,Yes,Thur,L,2,7.7,Raymond Sullivan,180068856139315,$$,9315
194,Thur9318,16.58,4.0,Male,Yes,Thur,L,2,8.3,Benjamin Weber,676210011505,$$,1505
195,Thur697,7.56,1.44,Male,No,Thur,L,2,3.8,Michael White,4865390263095532,$,5532
196,Thur9862,10.34,2.0,Male,Yes,Thur,L,2,5.2,Eric Martin,30442491190342,$$,0342
197,Thur9313,43.11,5.0,Female,Yes,Thur,L,4,10.8,Brooke Soto,5544902205760175,$$$,0175
198,Thur437,13.0,2.0,Female,Yes,Thur,L,2,6.5,Katherine Bond,4926725945192,$$,5192
199,Thur2428,13.51,2.0,Male,Yes,Thur,L,2,6.8,Joseph Murphy MD,6547218923471275,$$,1275
200,Thur6048,18.71,4.0,Male,Yes,Thur,L,3,6.2,Jason Conrad,4581233003487,$$,3487
201,Thur2544,12.74,2.01,Female,Yes,Thur,L,2,6.4,Abigail Parks,3586645396220590,$$,0590
202,Thur1301,13.0,2.0,Female,Yes,Thur,L,2,6.5,Ashley Shaw,180088043008041,$$,8041
203,Thur7770,16.4,2.5,Female,Yes,Thur,L,2,8.2,Toni Brooks,3582289985920239,$$,0239
204,Thur2160,20.53,4.0,Male,Yes,Thur,L,4,5.1,Scott Kim,3570611756827620,$$,7620
205,Thur8084,16.47,3.23,Female,Yes,Thur,L,3,5.5,Carly Reyes,4787787236486,$$,6486
206,Sat1,26.59,3.41,Male,Yes,Sat,D,3,8.9,Daniel Owens,38971087967574,$$,7574
207,Sat4505,38.73,3.0,Male,Yes,Sat,D,4,9.7,Ricky Ramirez,347817964484033,$$$,4033
208,Sat6048,24.27,2.03,Male,Yes,Sat,D,2,12.1,Jason Carter,4268942915626180,$$,6180
209,Sat1274,12.76,2.23,Female,Yes,Sat,D,2,6.4,Sarah Cunningham,341876516331163,$$,1163
210,Sat8361,30.06,2.0,Male,Yes,Sat,D,3,10.0,Shawn Mendoza,30184049218122,$$$,8122
211,Sat6735,25.89,5.16,Male,Yes,Sat,D,4,6.5,Christopher Li,6011962464150569,$$,0569
212,Sat4590,48.33,9.0,Male,No,Sat,D,4,12.1,Alex Williamson,676218815212,$$$,5212
213,Sat1374,13.27,2.5,Female,Yes,Sat,D,2,6.6,Robin Andersen,580140531089,$$,1089
214,Sat3374,28.17,6.5,Female,Yes,Sat,D,3,9.4,Marissa Jackson,4922302538691962,$$,1962
215,Sat6983,12.9,1.1,Female,Yes,Sat,D,2,6.4,Jessica Owen,4726904879471,$$,9471
216,Sat7320,28.15,3.0,Male,Yes,Sat,D,5,5.6,Shawn Barnett PhD,4590982568244,$$,8244
217,Sat8489,11.59,1.5,Male,Yes,Sat,D,2,5.8,Gary Orr,30324521283406,$$,3406
218,Sat4772,7.74,1.44,Male,Yes,Sat,D,2,3.9,Nicholas Archer,340517153733524,$,3524
219,Sat8863,30.14,3.09,Female,Yes,Sat,D,4,7.5,Shelby House,502097403252,$$$,3252
220,Fri4607,12.16,2.2,Male,Yes,Fri,L,2,6.1,Ricky Johnson,213109508670736,$$,0736
221,Fri7511,13.42,3.48,Female,Yes,Fri,L,2,6.7,Leslie Kaufman,379437981958785,$$,8785
222,Fri6624,8.58,1.92,Male,Yes,Fri,L,1,8.6,Jason Lawrence,3505302934650403,$,0403
223,Fri6014,15.98,3.0,Female,No,Fri,L,3,5.3,Mary Rivera,5343428579353069,$$,3069
224,Fri5959,13.42,1.58,Male,Yes,Fri,L,2,6.7,Ronald Vaughn DVM,341503466406403,$$,6403
225,Fri6665,16.27,2.5,Female,Yes,Fri,L,2,8.1,Whitney Arnold,3579111947217428,$$,7428
226,Fri6359,10.09,2.0,Female,Yes,Fri,L,2,5.0,Ruth Weiss,5268689490381635,$$,1635
227,Sat4319,20.45,3.0,Male,No,Sat,D,4,5.1,Robert Bradley,213141668145910,$$,5910
228,Sat2937,13.28,2.72,Male,No,Sat,D,2,6.6,Glenn Jones,502061651712,$$,1712
229,Sat3943,22.12,2.88,Female,Yes,Sat,D,2,11.1,Jennifer Russell,4793003293608,$$,3608
230,Sat7872,24.01,2.0,Male,Yes,Sat,D,4,6.0,Michael Osborne,4258682154026,$$,4026
231,Sat6334,15.69,3.0,Male,Yes,Sat,D,3,5.2,Jason Parks,4812333796161,$$,6161
232,Sat2124,11.61,3.39,Male,No,Sat,D,2,5.8,James Taylor,6011482917327995,$$,7995
233,Sat1467,10.77,1.47,Male,No,Sat,D,2,5.4,Paul Novak,6011698897610858,$$,0858
234,Sat7220,15.53,3.0,Male,Yes,Sat,D,2,7.8,Tracy Douglas,4097938155941930,$$,1930
235,Sat4615,10.07,1.25,Male,No,Sat,D,2,5.0,Sean Gonzalez,3534021246117605,$$,7605
236,Sat5032,12.6,1.0,Male,Yes,Sat,D,2,6.3,Matthew Myers,3543676378973965,$$,3965
237,Sat2929,32.83,1.17,Male,Yes,Sat,D,2,16.4,Thomas Brown,4284722681265508,$$$,5508
238,Sat9777,35.83,4.67,Female,No,Sat,D,3,11.9,Kimberly Crane,676184013727,$$$,3727
239,Sat2657,29.03,5.92,Male,No,Sat,D,3,9.7,Michael Avila,5296068606052842,$$,2842
240,Sat1766,27.18,2.0,Female,Yes,Sat,D,2,13.6,Monica Sanders,3506806155565404,$$,5404
241,Sat3880,22.67,2.0,Male,Yes,Sat,D,2,11.3,Keith Wong,6011891618747196,$$,7196
242,Sat17,17.82,1.75,Male,No,Sat,D,2,8.9,Dennis Dixon,4375220550950,$$,0950
243,Thur672,18.78,3.0,Female,No,Thur,D,2,9.4,Michelle Hardin,3511451626698139,$$,8139
